label,c1,c2,h2,intensity
peak170,12.920,23.267,0.794,9357459
peak171,20.776,20.772,0.861,199070432
peak172,19.706,20.771,0.861,35076348
peak173,20.785,19.685,0.575,18531666
peak174,19.712,19.704,0.576,13727714
peak175,26.688,26.685,0.949,46271740
peak176,23.279,26.686,0.949,41767520
peak177,21.666,26.668,0.948,13754595
peak178,15.144,26.683,0.950,7144498
peak179,12.886,26.706,0.945,4889240
peak180,15.106,23.293,0.966,5608539
peak181,21.661,23.296,0.958,6975399
peak182,23.285,23.278,0.960,145056992
peak183,26.682,23.279,0.961,37813284
peak184,12.885,12.884,0.722,1124176512
peak185,21.608,12.902,0.720,8747301
peak186,21.879,12.889,0.724,8129201
peak187,22.401,12.900,0.721,16194897
peak188,24.229,12.891,0.721,9839039
peak189,23.269,12.891,0.725,6021321
peak190,26.097,12.892,0.722,49168776
peak191,24.243,21.941,0.910,16347846
peak192,23.271,21.922,0.911,13618435
peak193,21.865,21.891,0.911,111616976
peak194,21.584,21.859,0.911,75856408
peak195,21.076,21.979,0.912,8431231
peak196,12.741,12.741,0.738,189574288
