label,c1,c2,h2,short_range,intensity
peak120,26.188000,13.708000,0.828000,x,28328170.000000
peak121,24.823000,13.703000,0.827000,,10349366.000000
peak122,22.511999,13.697000,0.827000,,14646789.000000
peak123,21.454000,13.701000,0.827000,,14768125.000000
peak124,26.208000,22.559000,1.089000,x,31950114.000000
peak125,24.825001,22.558001,1.090000,x,12080302.000000
peak127,21.450001,22.562000,1.088000,x,73026184.000000
peak128,13.705000,22.575001,1.089000,,7586506.000000
peak129,13.691000,21.445000,1.018000,,10654747.000000
peak130,26.204000,21.458000,1.020000,x,31484012.000000
peak131,24.829000,21.447001,1.020000,,11367010.000000
peak132,22.556000,21.452999,1.019000,x,84901616.000000
peak135,24.257000,25.905001,0.871000,x,20296862.000000
peak136,25.909000,24.247999,1.076000,x,32221390.000000
peak138,12.870000,25.955000,1.053000,,5184816.000000
peak140,24.257999,25.934999,1.057000,x,15090017.000000
peak141,23.665001,25.951000,1.061000,,9267320.000000
peak142,22.066000,25.952999,1.058000,x,10598842.000000
peak143,21.674999,25.944000,1.057000,x,13101534.000000
peak145,24.268999,25.663000,0.984000,,15693799.000000
peak146,23.629999,25.693001,0.981000,,7460737.000000
peak147,21.677000,25.681000,0.982000,x,13571047.000000
peak148,22.080000,25.688999,0.983000,,11568301.000000
peak149,12.919000,25.664000,0.981000,,5376362.000000
peak150,25.952999,23.950001,1.044000,x,22548938.000000
peak153,23.936001,25.968000,0.775000,x,20452280.000000
peak154,26.101000,24.235001,1.192000,x,10196327.000000
peak156,12.895000,24.209999,1.191000,,4851122.000000
peak157,26.701000,21.652000,0.588000,x,10006556.000000
peak158,23.648001,21.638000,0.588000,x,13973154.000000
peak159,23.275000,21.639999,0.587000,x,31946544.000000
peak160,22.028000,21.653000,0.587000,,12875866.000000
peak162,15.147000,21.648001,0.589000,x,11965074.000000
peak163,12.919000,21.643999,0.588000,x,13845935.000000
peak164,26.686001,23.254000,0.797000,,5824129.000000
peak165,23.636999,23.267000,0.796000,,17800738.000000
peak167,21.645000,23.263000,0.796000,x,60228420.000000
peak168,22.052999,23.266001,0.796000,x,24065988.000000
peak169,15.158000,23.261999,0.796000,x,20704574.000000
peak170,12.920000,23.267000,0.794000,,9357459.000000
peak172,19.705999,20.771000,0.861000,x,35076348.000000
peak173,20.785000,19.684999,0.575000,x,18531666.000000
peak176,23.278999,26.686001,0.949000,x,41767520.000000
peak177,21.666000,26.667999,0.948000,x,13754595.000000
peak178,15.144000,26.683001,0.950000,x,7144498.000000
peak179,12.886000,26.705999,0.945000,,4889240.000000
peak180,15.106000,23.292999,0.966000,,5608539.000000
peak181,21.660999,23.296000,0.958000,,6975399.000000
peak183,26.681999,23.278999,0.961000,x,37813284.000000
peak185,21.608000,12.902000,0.720000,,8747301.000000
peak186,21.879000,12.889000,0.724000,,8129201.000000
peak187,22.400999,12.900000,0.721000,,16194897.000000
peak188,24.229000,12.891000,0.721000,,9839039.000000
peak189,23.268999,12.891000,0.725000,,6021321.000000
peak190,26.097000,12.892000,0.722000,x,49168776.000000
peak191,24.243000,21.941000,0.910000,,16347846.000000
peak192,23.271000,21.922001,0.911000,,13618435.000000
peak194,21.584000,21.858999,0.911000,x,75856408.000000
peak195,21.076000,21.979000,0.912000,,8431231.000000
