label,c1,c2,h2,intensity
peak146,23.889,23.895,0.654,331583840
peak147,22.728,22.728,0.987,366177600
peak148,22.728,12.418,0.808,1478667
peak149,21.166,21.160,0.578,428140896
peak150,21.166,12.403,0.808,6553958
peak151,25.707,13.297,0.138,3262720
peak152,25.693,10.153,0.630,873158
peak153,25.695,25.696,0.899,402082976
peak154,25.693,22.968,0.759,3239762
peak155,14.034,12.246,0.197,10258595
peak156,14.035,14.033,0.923,886570944
peak157,22.880,24.494,0.461,742484
peak158,22.869,10.289,0.571,5034489
peak159,22.880,22.517,0.739,8354246
peak160,22.878,22.886,0.956,630393216
peak161,23.486,14.532,0.364,1302291
peak162,23.483,13.909,0.734,5549168
peak163,23.488,10.164,0.629,4758080
peak164,23.487,23.495,0.700,315234272
peak165,23.492,27.222,1.012,6240022
peak166,23.486,24.015,1.075,2553132
peak167,27.158,26.087,0.663,3041102
peak168,27.208,10.164,0.630,15987515
peak169,27.220,23.504,0.700,9480557
peak170,27.208,27.216,1.012,405144448
peak171,27.205,24.015,1.075,1555673
peak172,27.205,21.897,0.768,1495735
peak173,24.029,24.955,0.467,5019550
peak174,24.007,10.163,0.630,7270934
peak175,24.015,23.486,0.700,3012740
peak176,24.014,24.004,1.075,249399248
peak177,24.015,21.897,0.768,2269539
peak178,21.925,10.151,0.628,1527304
peak179,21.896,23.986,1.076,3248067
peak180,21.897,21.897,0.768,419210016
peak181,21.897,22.968,0.759,2266844
peak182,22.276,26.087,0.664,1809401
peak183,22.209,23.448,1.227,4864054
peak184,22.205,22.200,0.913,443327552
peak185,22.947,25.697,0.898,4536198
peak186,22.968,21.897,0.768,2452787
peak187,22.968,22.209,0.914,2555496
peak188,22.968,22.968,0.759,343873408
peak189,19.342,19.350,1.111,275081696
peak190,19.343,23.503,0.924,1042177
peak191,25.813,24.985,0.468,3534562
peak192,25.819,25.823,0.669,400149216
peak193,23.491,23.503,0.923,498885280
peak194,23.490,11.992,1.123,5216520
peak195,12.003,23.508,0.924,3717640
peak196,11.997,11.989,1.124,1155784832
peak197,17.164,21.123,0.662,1822141
peak198,17.170,17.161,1.716,561126016
peak199,12.408,21.154,0.577,3900628
peak200,12.411,12.406,0.808,1736224128
peak201,17.633,17.625,2.080,485186656
peak202,16.977,16.982,2.080,1976741248
peak203,23.028,13.098,0.723,3378234
peak204,23.024,21.091,0.890,4633672
peak205,23.028,23.028,0.361,360563808
peak206,22.784,13.109,0.723,13432214
peak207,22.777,25.411,0.835,5690438
peak208,22.777,25.471,0.849,3842142
peak209,22.777,22.777,1.044,457957312
peak210,12.950,12.963,0.852,1383285120
peak211,22.760,23.325,0.892,6278398
peak212,22.760,22.760,1.011,352337472
peak213,24.494,24.494,0.461,503170304
