label,c1,c2,h2,short_range,intensity
peak359,24.059999,19.393999,1.109000,,998763.000000
peak360,21.941999,19.393999,1.109000,,689857.000000
peak361,23.473000,19.381001,1.111000,,4268879.000000
peak362,12.018000,19.368000,1.110000,,2130792.000000
peak363,17.215000,19.393999,1.109000,,643882.000000
peak365,25.030001,25.864000,0.668000,x,5568898.000000
peak366,27.250000,25.862000,0.667000,,441858.000000
peak367,24.059999,25.863001,0.669000,,3003013.000000
peak368,21.941999,25.862000,0.667000,,686301.000000
peak369,19.388000,25.865000,0.666000,,1615022.000000
peak371,23.013000,23.554001,0.923000,,5341288.000000
peak372,19.336000,23.507999,0.922000,,5019102.000000
peak373,12.024000,23.511000,0.921000,x,23948076.000000
peak375,23.464001,12.015000,1.122000,x,31761546.000000
peak376,17.212000,12.130000,1.120000,,1921529.000000
peak378,21.115999,17.183001,1.714000,x,11148639.000000
peak379,19.388000,17.221001,1.716000,,2714999.000000
peak380,12.039000,17.221001,1.716000,,1108756.000000
peak382,19.507000,12.469000,0.807000,,862209.000000
peak383,21.174000,12.415000,0.806000,x,55667452.000000
peak384,22.725000,12.413000,0.806000,,19689066.000000
peak385,17.690001,12.469000,0.807000,,4862061.000000
peak387,22.773001,17.695999,2.078000,,711840.000000
peak388,21.215000,17.695999,2.078000,,537126.000000
peak389,12.463000,17.695999,2.078000,,551700.000000
peak392,13.143000,23.079000,0.360000,,3797375.000000
peak393,21.458000,23.079000,0.360000,,2556262.000000
peak394,21.143999,23.079000,0.360000,x,13118978.000000
peak395,22.822001,23.079000,0.360000,,21790404.000000
peak397,24.917000,22.826000,1.043000,,1002278.000000
peak398,13.143000,22.827999,1.042000,x,50755352.000000
peak399,25.455999,22.826000,1.043000,x,17943580.000000
peak400,23.370001,22.829000,1.041000,,5205884.000000
peak401,23.073000,22.827999,1.043000,,14076090.000000
peak402,12.996000,22.827999,1.043000,,15938363.000000
peak404,14.230000,13.002000,0.852000,,3137179.000000
peak405,22.857000,12.989000,0.859000,,3668588.000000
peak407,13.143000,22.811001,1.010000,,2243052.000000
peak408,25.455999,22.809999,1.010000,x,5457291.000000
peak409,23.370001,22.811001,1.010000,,13887366.000000
peak410,24.033001,22.811001,1.010000,,1641257.000000
peak412,13.352000,10.191000,0.628000,,3702807.000000
peak413,26.152000,10.189000,0.628000,,2480684.000000
peak414,13.927000,10.169000,0.626000,,2423248.000000
peak415,12.299000,10.204000,0.629000,,503365.000000
peak416,24.997999,10.174000,0.632000,,5099243.000000
peak417,25.725000,10.187000,0.632000,,6685704.000000
peak418,23.479000,10.178000,0.629000,x,28845466.000000
peak419,27.211000,10.184000,0.630000,x,53816052.000000
peak420,24.018999,10.184000,0.630000,x,45223696.000000
peak421,21.903000,10.180000,0.629000,,14412841.000000
peak422,22.146999,10.204000,0.629000,,2456826.000000
peak423,22.870001,10.204000,0.629000,,1555493.000000
peak425,24.551001,10.204000,0.581000,,2014016.000000
peak426,22.551001,10.317000,0.570000,,5135288.000000
peak427,22.879000,10.302000,0.570000,x,37801336.000000
peak429,23.370001,24.039000,0.758000,,1233934.000000
peak430,11.953000,23.542999,0.779000,,2633157.000000
peak431,13.146000,25.521000,0.849000,x,19844252.000000
peak432,13.111000,25.466999,0.835000,x,18586890.000000
