label,c1,c2,h2,intensity
peak131,23.351,25.192,0.968,8.49E+07
peak132,25.176,23.334,0.951,9.51E+07
peak133,25.636,23.245,0.983,6.74E+07
peak134,23.245,25.633,0.846,6.10E+07
peak135,25.036,23.303,1.037,1.02E+08
peak136,14.518,24.164,1.054,1.40E+07
peak137,22.151,24.198,1.056,9.22E+06
peak138,26.820,24.164,1.054,2.10E+07
peak139,24.145,26.767,0.864,1.99E+07
peak140,27.599,23.673,1.239,1.80E+07
peak141,24.980,27.639,1.015,9.16E+06
peak142,23.668,27.603,1.015,1.83E+07
peak143,25.184,26.773,1.376,1.52E+07
peak144,26.077,26.796,1.376,6.00E+06
peak145,22.088,26.783,1.376,5.71E+06
peak146,22.967,26.745,1.376,6.15E+06
peak147,22.946,25.184,1.310,4.28E+06
peak148,25.173,26.081,0.716,8.69E+06
peak149,24.450,26.071,0.715,3.40E+07
peak150,22.372,26.066,0.715,1.11E+07
peak151,27.151,26.075,0.715,1.48E+07
peak152,26.762,26.073,0.714,7.09E+06
peak153,22.389,24.415,0.721,8.78E+06
peak154,25.180,24.432,0.722,8.34E+06
peak155,27.164,24.424,0.721,7.63E+06
peak156,26.064,24.445,0.721,3.78E+07
peak157,23.201,26.497,0.856,4.24E+07
peak158,24.559,27.083,0.587,2.40E+07
peak159,26.672,27.091,0.587,1.31E+07
peak160,8.005,27.099,0.587,1.43E+07
peak161,27.122,24.566,0.928,2.48E+07
peak162,25.393,26.662,1.031,5.96E+06
peak163,24.420,26.670,1.032,1.51E+07
peak164,27.048,26.678,1.032,1.08E+07
peak165,8.004,26.663,1.031,9.37E+06
peak166,14.538,26.664,1.032,4.89E+06
peak167,22.172,23.981,0.888,8.67E+06
peak168,20.734,23.926,0.886,1.17E+07
peak169,13.868,23.941,0.887,1.05E+07
peak170,27.569,23.971,0.887,9.84E+06
peak171,24.961,23.959,0.887,4.55E+07
peak172,23.974,27.586,0.819,1.71E+07
peak173,8.007,23.570,0.310,3.19E+06
peak174,8.049,14.491,0.793,2.57E+06
peak175,14.507,8.021,0.478,2.15E+06
peak176,24.787,22.758,0.938,3.17E+07
peak177,22.754,24.780,0.839,3.26E+07
peak178,24.114,24.774,0.841,8.38E+06
peak179,26.798,24.759,0.840,6.18E+06
peak180,26.396,24.789,0.840,1.19E+07
peak181,26.822,24.098,0.957,9.28E+06
peak182,24.770,26.809,0.863,7.13E+06
peak183,23.568,26.509,0.854,6.03E+06
peak184,22.059,24.952,1.154,5.91E+06
peak185,23.992,25.601,0.839,1.41E+07
peak186,23.995,21.748,0.797,6.81E+06
peak187,27.145,25.626,0.839,4.91E+06
peak188,27.439,26.783,1.376,4.75E+06
peak189,25.135,27.290,0.901,7.22E+06
peak190,27.149,21.881,0.641,3.56E+06
peak191,21.592,11.910,0.945,9.44E+06
peak192,24.845,23.725,0.876,5.51E+07
peak193,12.521,25.673,0.837,4.15E+06
peak194,25.579,12.578,-0.383,3.49E+06
peak195,8.010,24.370,1.064,2.92E+06
peak196,24.165,25.389,0.743,6.68E+06
peak197,26.670,25.379,0.742,6.71E+06
peak198,20.689,27.646,0.819,2.61E+06
peak199,27.599,20.691,0.570,2.07E+06
peak200,9.134,23.881,0.784,3.14E+06
peak201,9.132,8.000,0.479,1.41E+06
peak202,24.810,23.605,0.920,8.77E+07
peak203,13.344,23.606,0.917,9.60E+06
peak204,8.007,24.961,0.922,6.71E+06
peak205,23.893,25.171,0.895,3.59E+06
peak206,23.975,25.017,0.922,3.34E+07
peak207,27.551,24.963,0.922,5.53E+06
peak208,7.985,23.977,0.888,5.68E+06
peak209,9.135,23.976,0.887,7.07E+06
peak210,20.728,25.017,0.922,1.04E+07
peak211,8.002,9.135,0.757,3.37E+06
peak212,9.128,24.960,0.922,1.95E+06
peak213,13.857,24.938,0.921,1.13E+07
peak214,12.503,26.039,0.838,2.89E+06
peak215,14.526,23.621,0.972,2.74E+06
peak216,24.497,26.748,1.376,3.79E+06
peak217,22.080,24.576,0.925,4.96E+06
peak218,27.265,23.662,1.238,5.89E+06
peak219,22.058,23.651,1.238,3.53E+06
peak220,22.680,24.951,1.155,4.10E+06
peak221,24.011,24.448,0.721,5.74E+06
peak222,23.805,20.737,0.571,1.13E+07
peak223,24.463,25.145,1.309,4.20E+06
peak224,27.442,25.180,1.313,3.56E+06
peak225,26.792,24.406,0.720,4.92E+06
peak226,25.180,27.431,0.915,6.16E+06
peak227,23.562,27.073,0.588,3.86E+06
peak228,27.088,23.565,0.307,4.23E+06
peak229,25.402,24.166,1.056,6.95E+06
peak230,13.873,22.165,0.777,2.14E+06
peak231,25.387,26.032,0.838,1.01E+07
peak232,24.789,24.133,0.953,2.76E+06
peak233,22.164,27.568,0.819,4.65E+06
peak234,27.566,22.189,0.911,3.09E+06
peak235,25.034,23.615,0.920,2.46E+07
peak236,23.627,25.030,0.921,6.32E+07
peak237,24.858,13.338,0.904,4.79E+06
peak238,25.038,13.338,0.903,4.85E+06
peak239,23.192,11.928,0.947,4.70E+06
peak240,22.144,26.803,0.860,6.31E+06
peak241,25.377,24.432,0.722,8.12E+06
peak242,25.389,26.081,0.716,6.92E+06
peak243,25.018,22.147,0.775,7.42E+06
peak244,22.136,24.993,0.922,9.95E+06
peak245,23.625,24.843,0.921,1.28E+08
peak246,23.556,25.011,0.930,6.70E+07
peak247,24.438,24.001,0.687,6.16E+06
peak248,23.303,25.041,1.002,1.06E+08
peak249,12.564,22.400,0.093,1.83E+06
peak250,22.397,12.561,-0.379,2.95E+06
