label,c1,c2,h2,short_range,intensity
peak138,26.820000,24.164000,1.054000,x,21000000.000000
peak139,24.145000,26.767000,0.864000,x,19900000.000000
peak140,27.599001,23.673000,1.239000,x,18000000.000000
peak141,24.980000,27.639000,1.015000,x,9160000.000000
peak142,23.667999,27.603001,1.015000,x,18300000.000000
peak143,25.184000,26.773001,1.376000,x,15200000.000000
peak144,26.077000,26.796000,1.376000,,6000000.000000
peak145,22.087999,26.783001,1.376000,x,5710000.000000
peak146,22.966999,26.745001,1.376000,x,6150000.000000
peak147,22.945999,25.184000,1.310000,,4280000.000000
peak148,25.173000,26.080999,0.716000,,8690000.000000
peak149,24.450001,26.070999,0.715000,x,34000000.000000
peak150,22.372000,26.066000,0.715000,x,11100000.000000
peak151,27.150999,26.075001,0.715000,x,14800000.000000
peak152,26.761999,26.073000,0.714000,,7090000.000000
peak153,22.389000,24.415001,0.721000,x,8780000.000000
peak154,25.180000,24.431999,0.722000,,8340000.000000
peak155,27.164000,24.424000,0.721000,,7630000.000000
peak156,26.063999,24.445000,0.721000,x,37800000.000000
peak157,23.201000,26.497000,0.856000,x,42400000.000000
peak158,24.559000,27.083000,0.587000,x,24000000.000000
peak159,26.672001,27.091000,0.587000,x,13100000.000000
peak160,8.005000,27.099001,0.587000,x,14300000.000000
peak161,27.122000,24.566000,0.928000,x,24800000.000000
peak162,25.393000,26.662001,1.031000,x,5960000.000000
peak163,24.420000,26.670000,1.032000,x,15100000.000000
peak164,27.048000,26.677999,1.032000,x,10800000.000000
peak165,8.004000,26.663000,1.031000,x,9370000.000000
peak166,14.538000,26.664000,1.032000,,4890000.000000
peak167,22.172001,23.981001,0.888000,,8670000.000000
peak168,20.733999,23.926001,0.886000,x,11700000.000000
peak169,13.868000,23.941000,0.887000,,10500000.000000
peak170,27.569000,23.971001,0.887000,,9840000.000000
peak171,24.961000,23.959000,0.887000,x,45500000.000000
peak172,23.974001,27.586000,0.819000,,17100000.000000
peak173,8.007000,23.570000,0.310000,,3190000.000000
peak174,8.049000,14.491000,0.793000,,2570000.000000
peak175,14.507000,8.021000,0.478000,,2150000.000000
peak176,24.787001,22.757999,0.938000,x,31700000.000000
peak177,22.754000,24.780001,0.839000,x,32600000.000000
peak178,24.114000,24.774000,0.841000,,8380000.000000
peak179,26.798000,24.759001,0.840000,,6180000.000000
peak180,26.396000,24.789000,0.840000,x,11900000.000000
peak181,26.822001,24.098000,0.957000,,9280000.000000
peak182,24.770000,26.809000,0.863000,,7130000.000000
peak183,23.568001,26.509001,0.854000,,6030000.000000
peak184,22.059000,24.952000,1.154000,,5910000.000000
peak185,23.992001,25.601000,0.839000,x,14100000.000000
peak186,23.995001,21.747999,0.797000,,6810000.000000
peak187,27.145000,25.625999,0.839000,,4910000.000000
peak188,27.438999,26.783001,1.376000,,4750000.000000
peak189,25.135000,27.290001,0.901000,,7220000.000000
peak190,27.149000,21.881001,0.641000,,3560000.000000
peak191,21.591999,11.910000,0.945000,,9440000.000000
peak192,24.844999,23.725000,0.876000,x,55100000.000000
peak193,12.521000,25.673000,0.837000,,4150000.000000
peak194,25.579000,12.578000,-0.383000,,3490000.000000
peak195,8.010000,24.370001,1.064000,,2920000.000000
peak196,24.165001,25.389000,0.743000,,6680000.000000
peak197,26.670000,25.379000,0.742000,x,6710000.000000
peak198,20.688999,27.646000,0.819000,,2610000.000000
peak199,27.599001,20.691000,0.570000,,2070000.000000
peak200,9.134000,23.881001,0.784000,,3140000.000000
peak201,9.132000,8.000000,0.479000,,1410000.000000
peak202,24.809999,23.605000,0.920000,x,87700000.000000
peak203,13.344000,23.606001,0.917000,,9600000.000000
peak204,8.007000,24.961000,0.922000,,6710000.000000
peak205,23.893000,25.171000,0.895000,,3590000.000000
peak206,23.975000,25.017000,0.922000,x,33400000.000000
peak207,27.551001,24.962999,0.922000,,5530000.000000
peak208,7.985000,23.976999,0.888000,,5680000.000000
peak209,9.135000,23.976000,0.887000,,7070000.000000
peak210,20.728001,25.017000,0.922000,x,10400000.000000
peak211,8.002000,9.135000,0.757000,,3370000.000000
peak212,9.128000,24.959999,0.922000,,1950000.000000
peak213,13.857000,24.938000,0.921000,,11300000.000000
peak214,12.503000,26.039000,0.838000,,2890000.000000
peak215,14.526000,23.621000,0.972000,,2740000.000000
peak216,24.497000,26.747999,1.376000,,3790000.000000
peak217,22.080000,24.576000,0.925000,,4960000.000000
peak218,27.264999,23.662001,1.238000,,5890000.000000
peak219,22.058001,23.650999,1.238000,,3530000.000000
peak220,22.680000,24.951000,1.155000,,4100000.000000
peak221,24.011000,24.448000,0.721000,,5740000.000000
peak222,23.805000,20.737000,0.571000,,11300000.000000
peak223,24.462999,25.145000,1.309000,,4200000.000000
peak224,27.441999,25.180000,1.313000,,3560000.000000
peak225,26.792000,24.406000,0.720000,,4920000.000000
peak226,25.180000,27.431000,0.915000,x,6160000.000000
peak227,23.562000,27.073000,0.588000,,3860000.000000
peak228,27.087999,23.565001,0.307000,,4230000.000000
peak229,25.402000,24.166000,1.056000,,6950000.000000
peak230,13.873000,22.165001,0.777000,,2140000.000000
