label,c1,c2,h2,intensity
peak69,25.141,25.139,0.862,5.42E+08
peak70,24.777,25.221,0.839,1.84E+07
peak71,25.237,25.236,0.838,2.88E+08
peak72,23.916,25.562,0.815,9.86E+06
peak73,25.567,25.561,0.815,4.76E+08
peak74,22.158,25.513,0.869,6.36E+06
peak75,25.529,25.521,0.869,1.80E+08
peak76,24.005,25.647,0.861,6.29E+06
peak77,25.625,25.640,0.860,1.84E+08
peak78,25.570,25.570,0.977,2.62E+08
peak79,25.348,25.347,1.036,2.77E+08
peak80,23.031,25.343,1.036,8.16E+06
peak81,24.224,25.793,1.043,1.09E+07
peak82,25.795,25.804,1.043,2.66E+08
peak83,26.517,26.030,1.033,1.61E+07
peak84,26.031,26.035,1.033,3.11E+08
peak85,23.411,26.156,0.972,1.00E+07
peak86,26.162,26.156,0.972,2.91E+08
peak87,26.572,26.577,0.956,4.36E+08
peak88,26.045,26.582,0.957,1.80E+07
peak89,26.554,26.562,0.914,2.11E+08
peak90,23.924,26.552,0.914,7.56E+06
peak91,27.207,27.210,0.867,1.61E+08
peak92,23.765,27.199,0.867,6.91E+06
peak93,27.105,27.097,0.771,1.23E+08
peak94,24.177,27.092,0.771,8.24E+06
peak95,27.788,27.795,0.831,7.64E+07
peak96,22.836,27.803,0.831,4.72E+06
peak97,27.909,27.912,1.052,9.27E+07
peak98,25.418,25.415,0.256,1.44E+08
peak99,22.500,22.506,0.099,1.38E+08
peak100,24.196,24.185,0.987,2.50E+08
peak101,22.535,26.114,0.824,9.77E+06
peak102,23.208,25.873,0.733,5.16E+06
peak103,25.244,24.804,0.910,2.56E+07
peak104,24.856,26.147,0.883,7.57E+06
peak105,23.891,21.060,0.933,3.29E+06
peak106,13.788,10.176,0.680,3.64E+06
peak107,25.612,10.156,0.682,6.88E+06
peak108,22.162,10.194,0.680,2.08E+06
peak109,24.230,10.066,0.250,1.95E+06
peak110,23.780,10.011,0.248,9.99E+05
peak111,10.209,13.803,0.639,1.85E+06
peak112,24.839,13.578,0.720,1.35E+06
peak113,25.484,13.784,0.644,2.01E+06
peak114,24.831,13.805,0.644,2.30E+06
peak115,22.141,13.777,0.644,1.32E+06
peak116,21.767,13.796,0.642,2.46E+06
peak117,27.767,14.285,0.690,3.65E+06
peak118,22.861,14.293,0.691,4.04E+06
peak119,23.020,14.285,0.691,4.01E+06
peak120,23.917,14.293,0.691,1.37E+06
peak121,26.563,14.107,0.736,6.19E+06
peak122,23.913,14.035,0.738,1.19E+06
peak123,27.160,13.737,0.764,1.03E+06
peak124,26.569,13.767,0.763,5.51E+06
peak125,26.036,13.759,0.762,3.74E+06
peak126,25.704,13.805,0.748,3.50E+06
peak127,24.790,13.762,0.745,1.95E+06
peak128,21.775,13.796,0.746,2.20E+06
peak129,10.177,13.798,0.748,1.79E+06
peak130,24.002,14.698,0.683,6.13E+06
peak131,22.992,14.684,0.683,8.78E+06
peak132,27.782,14.663,0.682,1.75E+06
peak133,22.862,22.183,0.991,5.44E+06
peak134,13.826,21.789,0.701,3.08E+06
peak135,24.887,21.767,0.702,1.08E+06
peak136,10.211,22.173,0.705,1.43E+06
peak137,13.803,22.161,0.704,1.25E+06
peak138,21.799,25.428,0.257,1.34E+06
