label,c1,c2,h2,short_range,intensity
peak197,26.141001,24.830000,0.739000,x,4310000.000000
peak198,25.426001,24.870001,0.742000,x,5800000.000000
peak200,24.191999,24.858999,0.741000,,4470000.000000
peak201,22.695999,24.863001,0.738000,,3370000.000000
peak202,22.695999,27.871000,1.054000,x,3080000.000000
peak203,26.134001,27.941999,1.054000,x,2380000.000000
peak204,25.747999,27.924999,1.055000,,1840000.000000
peak205,25.413000,26.118999,0.883000,x,2960000.000000
peak206,27.104000,24.813999,0.874000,,1860000.000000
peak207,26.745001,24.839001,0.875000,x,4060000.000000
peak208,26.153000,24.837000,0.876000,x,10800000.000000
peak209,13.778000,24.843000,0.878000,x,4690000.000000
peak210,13.589000,24.826000,0.876000,x,3880000.000000
peak211,21.778000,24.823000,0.875000,x,2970000.000000
peak212,27.202999,13.760000,0.765000,,4160000.000000
peak213,25.237000,24.834000,0.911000,x,24700000.000000
peak215,23.011999,25.340000,1.038000,x,19400000.000000
peak216,22.132000,25.400999,1.036000,x,3340000.000000
peak217,27.120001,24.158001,1.028000,x,12200000.000000
peak218,25.785999,24.171000,1.025000,x,6150000.000000
peak220,14.690000,22.910999,0.955000,x,10400000.000000
peak221,14.299000,22.837999,0.957000,x,7660000.000000
peak222,22.132000,22.837000,0.958000,x,8860000.000000
peak223,21.785999,22.844999,0.960000,,4880000.000000
peak224,25.583000,22.841999,0.957000,x,6550000.000000
peak225,25.372999,22.844999,0.960000,,4110000.000000
peak226,26.570999,22.848000,0.957000,,3980000.000000
peak227,27.784000,22.839001,0.958000,x,8510000.000000
peak228,14.684000,14.315000,0.692000,,16300000.000000
peak229,25.812000,14.446000,0.686000,,2120000.000000
peak230,22.818001,14.273000,0.691000,x,10300000.000000
peak231,23.903999,14.331000,0.691000,,5530000.000000
peak232,14.292000,23.907000,0.988000,x,3930000.000000
peak233,24.826000,21.760000,0.703000,x,4070000.000000
peak234,24.832001,26.813999,0.783000,,2500000.000000
peak235,22.153000,25.503000,0.872000,x,10300000.000000
peak236,22.231001,22.472000,0.101000,,5150000.000000
peak237,22.507000,22.117001,0.703000,,4380000.000000
peak238,22.700001,23.094999,0.866000,,4350000.000000
peak239,14.683000,23.184999,0.724000,,4460000.000000
peak240,14.298000,23.198999,0.723000,x,4850000.000000
peak241,23.200001,14.315000,0.691000,x,5450000.000000
peak242,23.194000,14.641000,0.681000,,6130000.000000
peak243,24.014999,24.936001,0.896000,x,55100000.000000
peak244,24.948999,24.003000,0.888000,x,62400000.000000
peak245,24.544001,24.375999,0.906000,x,93400000.000000
peak246,24.368000,24.579000,0.933000,x,115000000.000000
peak247,14.085000,23.893999,0.987000,x,2930000.000000
peak248,27.934999,27.058001,0.773000,x,3770000.000000
peak249,26.148001,27.093000,0.773000,x,3440000.000000
peak250,23.207001,13.801000,0.750000,,4340000.000000
peak251,25.650999,13.790000,0.752000,x,6340000.000000
peak252,25.875000,13.790000,0.752000,x,6710000.000000
peak253,10.182000,13.836000,0.752000,x,5150000.000000
peak254,13.782000,22.853001,0.959000,,4890000.000000
peak255,27.944000,25.809999,1.043000,,2310000.000000
peak256,14.685000,23.563999,0.630000,,3150000.000000
peak257,22.837000,21.773001,0.704000,,5690000.000000
peak258,25.480000,10.198000,0.681000,,7390000.000000
