label,c1,c2,h2,short_range,intensity
peak263,22.108000,25.403000,0.414000,,4636670.000000
peak264,22.160000,25.403000,0.416000,,4606384.000000
peak265,18.487000,25.403000,0.416000,,4364742.000000
peak266,23.849001,25.406000,0.414000,x,4240076.000000
peak267,28.120001,25.403999,0.410000,,2635667.000000
peak268,21.409000,25.406000,0.414000,x,12653952.000000
peak269,24.431000,25.405001,0.414000,,1169403.000000
peak271,21.823000,21.417000,0.854000,,6044533.000000
peak272,22.108000,21.413000,0.854000,,5512623.000000
peak273,23.849001,21.415001,0.855000,,2339343.000000
peak275,24.431000,21.417999,0.855000,x,6739868.000000
peak277,21.823000,24.436001,-0.126000,,2609912.000000
peak278,22.108000,24.434999,-0.124000,,2380334.000000
peak279,23.849001,24.438000,-0.128000,,1054671.000000
peak280,25.406000,24.431999,-0.126000,,1113283.000000
peak281,21.409000,24.431000,-0.123000,,6915538.000000
peak282,21.417999,24.431000,-0.126000,,6915538.000000
peak284,22.636000,14.271000,0.676000,,3701401.000000
peak286,14.270000,22.636000,0.712000,,1628976.000000
peak287,25.936001,22.632999,0.719000,,1953266.000000
peak288,24.231001,22.632000,0.715000,,2545105.000000
peak289,21.399000,22.634001,0.710000,,1901943.000000
peak290,20.742001,22.635000,0.719000,,2405281.000000
peak291,18.513000,22.634001,0.714000,x,5431171.000000
peak293,22.636000,25.934000,0.652000,,5518212.000000
peak294,24.231001,25.934000,0.652000,,17482234.000000
peak295,19.167999,25.936001,0.653000,,3496157.000000
peak296,20.742001,25.937000,0.654000,,6791986.000000
peak297,18.513000,25.937000,0.653000,,6048025.000000
peak299,22.636000,24.229000,0.568000,,2915702.000000
peak300,25.936001,24.231001,0.567000,x,25851326.000000
peak301,19.167999,24.230000,0.567000,,2320072.000000
peak302,20.742001,24.232000,0.568000,,4004816.000000
peak303,18.513000,24.231001,0.568000,x,6022539.000000
peak305,25.673000,22.582001,1.151000,,2214421.000000
peak306,24.084999,22.580999,1.151000,,1438987.000000
peak307,12.932000,22.583000,1.150000,x,8868304.000000
peak308,25.430000,22.580999,1.152000,,7189108.000000
peak309,25.978001,22.580999,1.158000,,7852420.000000
peak310,20.972000,22.586000,1.147000,,4803668.000000
peak311,19.945000,22.580999,1.152000,,2631323.000000
peak312,25.806999,22.587000,1.148000,,3398865.000000
peak313,23.639999,22.580999,1.152000,,397704.000000
peak314,24.868000,22.587999,1.152000,,1017954.000000
peak315,25.142000,22.580999,1.152000,,1447909.000000
peak317,22.580999,24.083000,1.262000,,1605323.000000
peak318,25.673000,24.084000,1.263000,x,23407006.000000
peak319,19.961000,24.084999,1.262000,,1535107.000000
peak321,22.580999,25.673000,1.044000,,680431.000000
peak322,24.084999,25.674000,1.047000,x,21265924.000000
peak323,25.430000,25.674000,1.047000,,16248000.000000
peak326,22.580999,12.932000,-0.586000,x,13126714.000000
peak327,25.673000,12.930000,-0.587000,,2958800.000000
peak328,25.430000,12.932000,-0.588000,x,9410970.000000
peak329,25.978001,12.931000,-0.587000,x,10853991.000000
peak330,20.972000,12.932000,-0.583000,x,8645444.000000
peak331,19.945000,12.930000,-0.587000,,4241854.000000
peak333,22.580999,25.434000,0.651000,,9880758.000000
peak334,25.673000,25.434000,0.654000,,13804362.000000
peak335,12.932000,25.433001,0.654000,x,8070198.000000
peak336,25.978001,25.434000,0.651000,,28407032.000000
peak337,25.103001,25.430000,0.653000,,8583073.000000
peak338,25.775000,25.434999,0.651000,,15667906.000000
peak339,20.990999,25.430000,0.650000,,6619937.000000
peak340,23.916000,25.430000,0.649000,x,9363788.000000
peak341,20.972000,25.431000,0.651000,,6477282.000000
peak342,19.945000,25.431999,0.651000,x,6002535.000000
peak344,22.580999,25.978001,0.666000,,11184881.000000
peak345,12.932000,25.976000,0.667000,x,8793001.000000
peak346,25.430000,25.978001,0.666000,,28446142.000000
peak347,25.775000,25.979000,0.667000,,42951020.000000
peak348,23.916000,25.975000,0.665000,,7191821.000000
peak349,20.972000,25.978001,0.667000,,11841708.000000
peak350,19.945000,25.976999,0.671000,x,10352387.000000
peak351,24.868000,25.976999,0.668000,,5010574.000000
peak352,25.142000,25.978001,0.667000,,7954860.000000
peak354,25.430000,25.104000,1.012000,,6864836.000000
peak355,25.775000,25.106001,1.013000,x,55359480.000000
peak356,23.916000,25.101999,1.014000,x,13871295.000000
peak357,19.483999,25.103001,1.015000,,565843.000000
peak359,25.430000,25.775999,1.018000,,12233130.000000
peak360,25.978001,25.775000,1.017000,,24001014.000000
peak361,25.103001,25.774000,1.017000,x,57104508.000000
peak362,20.990999,25.774000,1.018000,,1945879.000000
peak363,23.916000,25.775000,1.016000,x,18828572.000000
peak365,20.990999,17.114000,-0.066000,x,11081039.000000
peak367,25.673000,20.995001,-0.324000,,1728962.000000
peak368,25.430000,20.990999,-0.324000,,1059632.000000
peak369,25.775000,20.992001,-0.320000,,2981302.000000
peak370,17.114000,20.990999,-0.321000,x,10150667.000000
peak371,23.916000,20.993999,-0.320000,,983940.000000
peak373,24.084999,19.959999,1.347000,,841139.000000
peak375,25.430000,23.914000,1.457000,x,6371306.000000
peak376,25.978001,23.916000,1.454000,,5923960.000000
peak377,25.103001,23.915001,1.456000,x,10114000.000000
peak378,25.775000,23.914000,1.456000,x,13297370.000000
peak379,20.990999,23.916000,1.455000,,777345.000000
peak380,24.608000,23.915001,1.454000,,2784192.000000
peak381,19.483999,23.914000,1.452000,,948862.000000
peak382,19.167999,23.916000,1.450000,,660099.000000
peak384,23.916000,24.605000,1.401000,,2891336.000000
peak385,19.483999,24.607000,1.405000,,3281379.000000
peak386,19.167999,24.608000,1.405000,,2968696.000000
peak387,21.141001,24.606001,1.401000,,1600095.000000
peak388,18.513000,24.606001,1.400000,,649902.000000
peak390,25.936001,19.167999,-0.061000,,4350310.000000
peak391,24.231001,19.162001,-0.062000,,2176315.000000
peak392,23.916000,19.167999,-0.058000,,686401.000000
